Building,Abbreviation,RoomType,BuildingType,Gender,TimeStamp,BedsAvailable
Gayley Heights,GH,1 Bd/3 Person,Apartment,Gender Inclusive,2025-02-19T11:00:00Z,0
Gayley Heights,GH,1 Bd/3 Person,Apartment,Gender Inclusive,2025-02-19T12:00:00Z,0
Gayley Heights,GH,1 Bd/3 Person,Apartment,Gender Inclusive,2025-02-19T13:00:00Z,0
Gayley Heights,GH,1 Bd/3 Person,Apartment,Gender Inclusive,2025-02-19T15:00:00Z,0
Gayley Heights,GH,1 Bd/3 Person,Apartment,Male,2025-02-18T09:00:00Z,6
Gayley Heights,GH,1 Bd/3 Person,Apartment,Male,2025-02-18T10:00:00Z,0
Gayley Heights,GH,1 Bd/3 Person,Apartment,Male,2025-02-18T11:00:00Z,0
Gayley Heights,GH,1 Bd/3 Person,Apartment,Male,2025-02-18T12:00:00Z,0
Gayley Heights,GH,1 Bd/3 Person,Apartment,Male,2025-02-18T13:00:00Z,0
Gayley Heights,GH,1 Bd/3 Person,Apartment,Male,2025-02-18T14:00:00Z,0
Gayley Heights,GH,1 Bd/3 Person,Apartment,Male,2025-02-18T15:00:00Z,0
Gayley Heights,GH,1 Bd/3 Person,Apartment,Male,2025-02-18T16:00:00Z,0
Gayley Heights,GH,1 Bd/3 Person,Apartment,Male,2025-02-19T10:00:00Z,0
Gayley Heights,GH,1 Bd/3 Person,Apartment,Male,2025-02-19T11:00:00Z,0
Gayley Heights,GH,1 Bd/3 Person,Apartment,Male,2025-02-19T12:00:00Z,0
Gayley Heights,GH,1 Bd/3 Person,Apartment,Male,2025-02-19T13:00:00Z,0
Gayley Heights,GH,1 Bd/3 Person,Apartment,Male,2025-02-19T15:00:00Z,0
Gayley Heights,GH,2 Bd/5 Person-Double,Apartment,Female,2025-02-18T09:00:00Z,8
Gayley Heights,GH,2 Bd/5 Person-Double,Apartment,Female,2025-02-18T10:00:00Z,2
Gayley Heights,GH,2 Bd/5 Person-Double,Apartment,Female,2025-02-18T11:00:00Z,1
Gayley Heights,GH,2 Bd/5 Person-Double,Apartment,Female,2025-02-18T12:00:00Z,1
Gayley Heights,GH,2 Bd/5 Person-Double,Apartment,Female,2025-02-18T13:00:00Z,0
Gayley Heights,GH,2 Bd/5 Person-Double,Apartment,Female,2025-02-18T14:00:00Z,0
Gayley Heights,GH,2 Bd/5 Person-Double,Apartment,Female,2025-02-18T15:00:00Z,0
Gayley Heights,GH,2 Bd/5 Person-Double,Apartment,Female,2025-02-18T16:00:00Z,0
Gayley Heights,GH,2 Bd/5 Person-Double,Apartment,Female,2025-02-19T10:00:00Z,0
Gayley Heights,GH,2 Bd/5 Person-Double,Apartment,Female,2025-02-19T11:00:00Z,0
Gayley Heights,GH,2 Bd/5 Person-Double,Apartment,Female,2025-02-19T12:00:00Z,0
Gayley Heights,GH,2 Bd/5 Person-Double,Apartment,Female,2025-02-19T13:00:00Z,0
Gayley Heights,GH,2 Bd/5 Person-Double,Apartment,Female,2025-02-19T15:00:00Z,0
